Dataset,N_Samples,N_Features,LR_MSE,PCA_Best_MSE,PCA_Best_Components,GPCA_Best_MSE,GPCA_Best_Components,Best_Method,Best_MSE
abalone,4177,9,4.891232447128585,4.891232447128579,9,108.01625134620515,1,PCA Regression,4.891232447128579
airfoil_noise,1503,5,22.12864331824728,22.128643318247153,5,15592.30908200685,1,PCA Regression,22.128643318247153
bike_sharing_day,731,14,3.838357193103419e-22,3332.4134859355095,10,22322924.405293453,1,Linear Regression,3.838357193103419e-22
bike_sharing_hour,17379,15,4.486297547267506e-23,101.13096757914451,10,65890.27488110003,2,Linear Regression,4.486297547267506e-23
california_housing,20640,8,0.5558915986952445,0.5558915986952462,8,4.846905249144876,3,Linear Regression,0.5558915986952445
concrete_strength,1030,8,95.97548435337711,95.97548435337706,8,1527.7179097365215,1,PCA Regression,95.97548435337706
diabetes,442,10,2900.1936284934804,2875.8909761981836,8,26547.9093903924,1,PCA Regression,2875.8909761981836
energy_efficiency,768,9,4.160173597573888,4.119160376345839,7,729.2017493563792,1,PCA Regression,4.119160376345839
wine_quality_combined,6497,12,0.5412384543695585,0.5439736346720915,9,33.88019573560759,1,Linear Regression,0.5412384543695585
wine_quality_red,1599,11,0.39002514396395505,0.3901869682067871,10,32.07146641709441,1,Linear Regression,0.39002514396395505
wine_quality_white,4898,11,0.5690247717229231,0.5794037340852627,10,35.39067360425533,1,Linear Regression,0.5690247717229231
