dataset,model,test_r2,test_mse,train_r2,train_mse,baseline_test_mse,test_mse_improvement,n_features,n_train_samples,condition_number,kl_divergence,kl_valid,n_components,variance_explained,r_beta_optimal,r_H_optimal,bic_score,status
abalone,LinearRegression,-2.1890620698936414,34.522266754919244,-2.217172643931067,33.08531879052426,11.617224880382775,-1.9716448730552398,9,3341,34.83937260221225,1.159326569853703,True,,,,,,
abalone,PCA,-8.651421292164121,104.47866272584322,-9.103044204428551,103.8994406746669,11.617224880382775,-7.993426898558992,9,3341,34.83937260221225,2.050126818209262,True,6.0,0.9907028373578275,,,,
abalone,ModelOrientedGeneralizedPCA,-9.236407541893474,110.81126175292646,-9.61647864526185,109.17958695001496,11.617224880382775,-8.538531180544329,9,3341,34.83937260221225,9097.89514877515,True,,,0.0,4.0,60746436.65716678,success
bike_sharing_day,LinearRegression,0.9841728168128298,63465.141540399796,0.9837482345923936,59574.12163128034,4088633.156462585,0.9844776630449016,14,584,26.207221044335267,18.4141332783656,True,,,,,,
bike_sharing_day,PCA,-4.205209361139489,20872276.825602066,-4.7293211420774295,21001981.386159915,4088633.156462585,-4.104952199639354,14,584,26.207221044335267,5.274497470587846,True,6.0,0.8937516882639505,,,,
bike_sharing_day,ModelOrientedGeneralizedPCA,-5.8482000836827845,27460476.22423537,-5.674907698645526,24468219.491438363,4088633.156462585,-5.716297396559222,14,584,26.207221044335267,131174.83866738662,True,,,0.0,4.0,153203443.04146755,success
diabetes,LinearRegression,-1.3971783036419314,12700.61442094656,-1.081311215182466,12646.875332337331,5361.533457238513,-1.368839907881146,10,353,19.07018086634975,0.7227884046054895,True,,,,,,
diabetes,PCA,-4.240594140396796,27765.463008209143,-3.374592459395135,26581.764927886077,5361.533457238513,-4.178642123499849,10,353,19.07018086634975,2.743553639642635,True,6.0,0.9061511173484484,,,,
diabetes,ModelOrientedGeneralizedPCA,-4.934962606535396,31444.332511196153,-3.8896275199033568,29711.32294617565,5361.533457238513,-4.864802068658867,10,353,19.07018086634975,54801.7166764815,True,,,0.0,4.0,38688878.132881954,success
energy_efficiency,LinearRegression,0.9551014714156045,4.160173597573953,0.9592575113488805,3.6529322856465902,93.43635392999795,0.9554758568523475,9,614,36.867453745339155,inf,True,,,,,,
energy_efficiency,PCA,-5.58791075355001,610.4176070842906,-5.68992265822438,599.8120212039386,93.43635392999795,-5.532977598222769,9,614,36.867453745339155,inf,True,6.0,0.9976252729736781,,,,
energy_efficiency,ModelOrientedGeneralizedPCA,-5.974395621345258,646.2282270212313,-6.64612840832223,685.5445076547232,93.43635392999795,-5.916239770072602,9,614,36.867453745339155,,False,,,0.0,4.0,14726775.693458576,success
wine_quality_red,LinearRegression,-25.75496499235775,17.48452638987879,-25.304141025737575,17.11327870673105,1.121875,-14.585093160894745,11,1279,11.074196246770695,1.5546717475063978,True,,,,,,
wine_quality_red,PCA,-48.58191402371999,32.4020713335285,-48.295867743973524,32.07152527685009,1.121875,-27.882069155234316,11,1279,11.074196246770695,1.7246120262867448,True,6.0,0.9391303105631289,,,,
wine_quality_red,ModelOrientedGeneralizedPCA,-47.36338982525449,31.605758630041066,-48.614959981809065,32.27912431587178,1.121875,-27.172263959925186,11,1279,11.074196246770695,123878.78771290377,True,,,0.0,4.0,316889265.9347097,success
concrete_strength,LinearRegression,0.4937671657490954,130.4466275585845,0.4730454711135539,149.6986821536096,257.7208529243377,0.4938452745347644,8,824,6.687230763882763,0.9582924509903132,True,,,,,,
concrete_strength,PCA,-4.35005788322752,1378.6087367149128,-3.950085764905916,1406.233887238194,257.7208529243377,-4.34923240037409,8,824,6.687230763882763,1.9432608428847766,True,6.0,0.9828871112378307,,,,
concrete_strength,ModelOrientedGeneralizedPCA,-5.045448159837289,1557.7976598415707,-4.5260616034056405,1569.858676948103,257.7208529243377,-5.044515382303631,8,824,6.687230763882763,45749.08545026292,True,,,0.0,4.0,75394715.4061646,success
